IBGE_cod,To_Manaus,From_Manaus
1100015,0,0
1100023,2,0
1100031,0,0
1100049,0,0
1100056,0,0
1100064,0,0
1100072,0,0
1100080,0,0
1100098,0,0
1100106,1,3
1100114,1,1
1100122,2,0
1100130,0,0
1100148,0,0
1100155,0,1
1100189,0,0
1100205,90,88
1100254,0,0
1100262,0,0
1100288,0,0
1100296,0,0
1100304,0,0
1100320,0,0
1100338,0,0
1100346,0,0
1100379,0,0
1100403,0,0
1100452,0,0
1100502,0,0
1100601,0,0
1100700,0,0
1100809,0,0
1100908,0,0
1100924,0,0
1100940,0,0
1101005,0,0
1101104,0,0
1101203,0,0
1101302,0,0
1101401,0,0
1101435,0,0
1101450,0,0
1101468,0,0
1101476,0,0
1101484,0,0
1101492,0,0
1101500,0,0
1101559,0,0
1101609,0,0
1101708,0,0
1101757,0,0
1101807,0,0
1200013,0,0
1200054,0,0
1200104,0,0
1200138,0,0
1200179,0,0
1200203,0,2
1200252,0,0
1200302,0,1
1200328,0,0
1200336,0,0
1200344,0,0
1200351,0,0
1200385,0,0
1200393,0,0
1200401,14,11
1200427,0,0
1200435,0,0
1200450,0,0
1200500,0,0
1200609,0,0
1200708,0,0
1200807,0,0
1300029,11,8
1300060,9,4
1300086,34,28
1300102,45,47
1300144,3,6
1300201,4,5
1300300,186,234
1300409,47,34
1300508,8,16
1300607,5,10
1300631,33,21
1300680,19,29
1300706,0,0
1300805,52,44
1300839,16,9
1300904,6,12
1301001,6,9
1301100,286,410
1301159,1201,888
1301209,136,160
1301308,55,47
1301407,13,6
1301506,6,8
1301605,6,18
1301654,0,0
1301704,16,15
1301803,0,0
1301852,7562,7487
1301902,840,703
1301951,1,6
1302009,99,110
1302108,12,12
1302207,9,6
1302306,27,23
1302405,16,14
1302504,1677,1534
1302553,120,133
1302603,2444718,2444718
1302702,36,43
1302801,9,11
1302900,48,55
1303007,24,18
1303106,64,66
1303205,211,155
1303304,12,17
1303403,167,168
1303502,0,1
1303536,1723,1731
1303569,1549,1532
1303601,3,8
1303700,10,10
1303809,31,40
1303908,24,22
1303957,10,14
1304005,59,44
1304062,103,78
1304104,17,10
1304203,125,127
1304237,17,10
1304260,7,7
1304302,35,26
1304401,66,48
1400027,2,1
1400050,1,0
1400100,400,365
1400159,0,4
1400175,3,10
1400209,57,43
1400233,4,2
1400282,16,8
1400308,19,12
1400407,0,0
1400456,7,6
1400472,218,211
1400506,1,2
1400605,3,3
1400704,0,0
1500107,0,0
1500131,0,0
1500206,0,0
1500305,0,0
1500347,0,0
1500404,49,45
1500503,0,2
1500602,0,1
1500701,0,0
1500800,9,11
1500859,0,1
1500909,0,0
1500958,0,0
1501006,2,1
1501105,0,0
1501204,0,0
1501253,0,0
1501303,3,7
1501402,164,159
1501451,2,2
1501501,0,0
1501576,0,0
1501600,0,0
1501709,1,0
1501725,0,0
1501758,0,0
1501782,0,0
1501808,8,8
1501907,0,0
1501956,0,0
1502004,0,0
1502103,0,0
1502152,0,1
1502202,0,2
1502301,1,0
1502400,5,1
1502509,0,0
1502608,0,0
1502707,0,0
1502756,0,0
1502764,0,0
1502772,0,0
1502806,1,1
1502855,1,0
1502905,0,1
1502939,0,0
1502954,1,0
1503002,1,0
1503044,0,0
1503077,0,0
1503093,1,0
1503101,2,2
1503200,0,0
1503309,0,0
1503408,0,0
1503457,0,0
1503507,0,1
1503606,14,13
1503705,0,0
1503754,1,1
1503804,0,0
1503903,25,37
1504000,0,0
1504059,0,0
1504109,0,0
1504208,6,2
1504307,0,0
1504406,0,0
1504422,0,1
1504455,0,0
1504505,0,0
1504604,0,0
1504703,0,0
1504752,1,1
1504802,5,8
1504901,1,0
1504950,0,0
1504976,0,0
1505007,0,0
1505031,5,4
1505064,0,0
1505106,42,34
1505205,1,0
1505304,29,35
1505403,0,0
1505437,0,0
1505486,0,0
1505494,0,0
1505502,2,0
1505536,2,3
1505551,0,0
1505601,0,0
1505635,0,0
1505650,0,1
1505700,0,0
1505809,1,0
1505908,0,1
1506005,1,0
1506104,0,0
1506112,0,0
1506138,1,0
1506161,0,0
1506187,0,0
1506195,3,0
1506203,2,3
1506302,0,0
1506351,0,0
1506401,0,0
1506500,1,0
1506559,0,0
1506583,0,0
1506609,0,0
1506708,0,1
1506807,193,187
1506906,0,0
1507003,0,0
1507102,0,0
1507151,0,0
1507201,0,0
1507300,0,0
1507409,0,0
1507458,0,0
1507466,0,0
1507474,0,0
1507508,0,0
1507607,0,0
1507706,1,0
1507755,0,0
1507805,0,0
1507904,0,0
1507953,0,0
1507961,1,0
1507979,10,10
1508001,0,0
1508035,0,0
1508050,0,0
1508084,0,0
1508100,0,0
1508126,0,0
1508159,0,0
1508209,0,0
1508308,0,0
1508357,0,0
1508407,0,0
1600055,0,0
1600105,0,0
1600154,0,0
1600204,0,0
1600212,0,0
1600238,0,0
1600253,0,0
1600279,0,0
1600303,7,6
1600402,0,0
1600501,0,0
1600535,0,0
1600550,0,0
1600600,0,0
1600709,0,0
1600808,0,0
1700251,0,0
1700301,0,0
1700350,0,0
1700400,0,0
1700707,0,0
1701002,0,0
1701051,0,0
1701101,0,0
1701309,0,0
1701903,0,0
1702000,0,0
