Covid_dates_2020_2021,Covid_period_excess_deaths,Excess_Deaths_7d_running_mean,
4-Apr-20,10,6,
5-Apr-20,7,11,
6-Apr-20,1,11,
7-Apr-20,6,13,
8-Apr-20,37,15,
9-Apr-20,13,20,
10-Apr-20,19,25,
11-Apr-20,22,29,
12-Apr-20,40,33,
13-Apr-20,36,39,
14-Apr-20,35,47,
15-Apr-20,67,53,
16-Apr-20,53,62,
17-Apr-20,77,69,
18-Apr-20,66,81,
19-Apr-20,100,85,
20-Apr-20,85,95,
21-Apr-20,117,101,
22-Apr-20,99,104,
23-Apr-20,119,109,
24-Apr-20,120,113,
25-Apr-20,89,114,
26-Apr-20,135,118,
27-Apr-20,111,116,
28-Apr-20,128,116,
29-Apr-20,123,115,
30-Apr-20,105,108,
1-May-20,118,105,
2-May-20,84,98,
3-May-20,90,89,
4-May-20,86,86,
5-May-20,78,80,
6-May-20,60,78,
7-May-20,84,69,
8-May-20,81,67,
9-May-20,66,63,
10-May-20,31,61,
11-May-20,67,54,
12-May-20,50,48,
13-May-20,46,43,
14-May-20,38,43,
15-May-20,40,37,
16-May-20,28,35,
17-May-20,35,35,
18-May-20,23,32,
19-May-20,36,31,
20-May-20,41,29,
21-May-20,23,26,
22-May-20,28,24,
23-May-20,19,22,
24-May-20,12,19,
25-May-20,10,19,
26-May-20,18,17,
27-May-20,24,14,
28-May-20,20,15,
29-May-20,12,15,
30-May-20,5,13,
31-May-20,14,11,
1-Jun-20,10,9,
2-Jun-20,6,10,
3-Jun-20,10,11,
4-Jun-20,8,8,
5-Jun-20,16,7,
6-Jun-20,11,7,
7-Jun-20,-3,6,
8-Jun-20,-1,8,
9-Jun-20,7,6,
10-Jun-20,7,5,
11-Jun-20,17,4,
12-Jun-20,5,6,
13-Jun-20,5,6,
14-Jun-20,-9,6,
15-Jun-20,12,5,
16-Jun-20,7,4,
17-Jun-20,7,4,
18-Jun-20,5,4,
19-Jun-20,-2,3,
20-Jun-20,6,2,
21-Jun-20,-5,2,
22-Jun-20,3,0,
23-Jun-20,2,-1,
24-Jun-20,3,-3,
25-Jun-20,-6,-2,
26-Jun-20,-6,-3,
27-Jun-20,-10,-5,
28-Jun-20,-3,-4,
29-Jun-20,2,-4,
30-Jun-20,-15,-4,
1-Jul-20,8,-3,
2-Jul-20,-6,-4,
3-Jul-20,-2,-4,
4-Jul-20,-8,-1,
5-Jul-20,-6,-4,
6-Jul-20,-2,-4,
7-Jul-20,6,-4,
8-Jul-20,-8,-2,
9-Jul-20,-8,-1,
10-Jul-20,-4,-2,
11-Jul-20,12,-3,
12-Jul-20,-5,0,
13-Jul-20,-6,0,
14-Jul-20,-1,1,
15-Jul-20,10,0,
16-Jul-20,-2,1,
17-Jul-20,-2,2,
18-Jul-20,7,3,
19-Jul-20,2,3,
20-Jul-20,-1,3,
21-Jul-20,9,5,
22-Jul-20,10,5,
23-Jul-20,-5,3,
24-Jul-20,12,2,
25-Jul-20,7,0,
26-Jul-20,-11,-1,
27-Jul-20,-4,1,
28-Jul-20,-7,-2,
29-Jul-20,4,-4,
30-Jul-20,4,-4,
31-Jul-20,-5,-3,
1-Aug-20,-7,-1,
2-Aug-20,-9,0,
3-Aug-20,-2,-1,
4-Aug-20,9,-2,
5-Aug-20,7,-2,
6-Aug-20,1,0,
7-Aug-20,-11,0,
8-Aug-20,-7,-1,
9-Aug-20,2,-2,
10-Aug-20,-1,-2,
11-Aug-20,3,-1,
12-Aug-20,-2,1,
13-Aug-20,0,0,
14-Aug-20,0,0,
15-Aug-20,5,-1,
16-Aug-20,-8,0,
17-Aug-20,1,0,
18-Aug-20,-2,-2,
19-Aug-20,5,-3,
20-Aug-20,1,-1,
21-Aug-20,-13,-2,
22-Aug-20,-3,-4,
23-Aug-20,4,-4,
24-Aug-20,-9,-2,
25-Aug-20,-11,0,
26-Aug-20,5,1,
27-Aug-20,11,-1,
28-Aug-20,8,-1,
29-Aug-20,-2,0,
30-Aug-20,-8,0,
31-Aug-20,-8,-2,
1-Sep-20,-2,-1,
2-Sep-20,3,-2,
3-Sep-20,-1,-1,
4-Sep-20,9,1,
5-Sep-20,-5,1,
6-Sep-20,-4,1,
7-Sep-20,11,2,
8-Sep-20,-5,1,
9-Sep-20,6,1,
10-Sep-20,1,0,
11-Sep-20,3,-1,
12-Sep-20,-3,0,
13-Sep-20,-9,-1,
14-Sep-20,-2,-1,
15-Sep-20,1,-1,
16-Sep-20,3,-1,
17-Sep-20,3,1,
18-Sep-20,4,3,
19-Sep-20,-8,4,
20-Sep-20,6,4,
21-Sep-20,14,4,
22-Sep-20,7,3,
23-Sep-20,2,6,
24-Sep-20,0,4,
25-Sep-20,1,2,
26-Sep-20,14,1,
27-Sep-20,-8,0,
28-Sep-20,0,2,
29-Sep-20,-4,2,
30-Sep-20,-2,2,
1-Oct-20,12,4,
2-Oct-20,-1,5,
3-Oct-20,14,8,
4-Oct-20,6,9,
5-Oct-20,12,7,
6-Oct-20,16,8,
7-Oct-20,-1,8,
8-Oct-20,5,8,
9-Oct-20,6,6,
10-Oct-20,13,4,
11-Oct-20,3,4,
12-Oct-20,-2,4,
13-Oct-20,3,4,
14-Oct-20,0,4,
15-Oct-20,7,5,
16-Oct-20,3,3,
17-Oct-20,17,4,
18-Oct-20,4,5,
19-Oct-20,-10,4,
20-Oct-20,6,4,
21-Oct-20,6,1,
22-Oct-20,0,-1,
23-Oct-20,2,0,
24-Oct-20,-1,0,
25-Oct-20,-10,1,
26-Oct-20,-2,3,
27-Oct-20,4,3,
28-Oct-20,13,3,
29-Oct-20,12,5,
30-Oct-20,1,7,
31-Oct-20,4,7,
1-Nov-20,4,5,
2-Nov-20,9,3,
3-Nov-20,5,4,
4-Nov-20,2,4,
5-Nov-20,-3,3,
6-Nov-20,8,4,
7-Nov-20,5,3,
8-Nov-20,-4,3,
9-Nov-20,13,3,
10-Nov-20,-3,2,
11-Nov-20,4,3,
12-Nov-20,1,5,
13-Nov-20,1,3,
14-Nov-20,11,6,
15-Nov-20,7,7,
16-Nov-20,2,10,
17-Nov-20,16,10,
18-Nov-20,13,7,
19-Nov-20,20,8,
20-Nov-20,0,7,
21-Nov-20,-7,5,
22-Nov-20,10,4,
23-Nov-20,-2,2,
24-Nov-20,3,2,
25-Nov-20,1,3,
26-Nov-20,9,2,
27-Nov-20,-4,4,
28-Nov-20,0,4,
29-Nov-20,8,4,
30-Nov-20,7,5,
1-Dec-20,9,7,
2-Dec-20,0,7,
3-Dec-20,14,6,
4-Dec-20,11,6,
5-Dec-20,0,5,
6-Dec-20,-1,5,
7-Dec-20,6,4,
8-Dec-20,2,3,
9-Dec-20,1,3,
10-Dec-20,7,4,
11-Dec-20,9,4,
12-Dec-20,-3,6,
13-Dec-20,5,6,
14-Dec-20,7,8,
15-Dec-20,13,8,
16-Dec-20,7,9,
17-Dec-20,16,11,
18-Dec-20,12,13,
19-Dec-20,7,12,
20-Dec-20,16,12,
21-Dec-20,19,14,
22-Dec-20,7,13,
23-Dec-20,10,12,
24-Dec-20,24,12,
25-Dec-20,9,12,
26-Dec-20,2,15,
27-Dec-20,16,17,
28-Dec-20,17,17,
29-Dec-20,29,20,
30-Dec-20,25,25,
31-Dec-20,23,29,
1-Jan-21,25,31,
2-Jan-21,43,35,
3-Jan-21,38,42,
4-Jan-21,32,50,
5-Jan-21,57,57,
6-Jan-21,75,65,
7-Jan-21,77,75,
8-Jan-21,79,87,
9-Jan-21,96,98,
10-Jan-21,110,111,
11-Jan-21,116,122,
12-Jan-21,133,136,
13-Jan-21,165,147,
14-Jan-21,153,152,
15-Jan-21,180,157,
16-Jan-21,169,158,
17-Jan-21,151,152,
18-Jan-21,145,151,
19-Jan-21,143,150,
