dataset,model,state,mean,mean_CI95,var,var_CI95,param1,param1_CI95,param2,param2_CI95,param3,param3_CI95,cv,
onset-to-death,Gamma,AC,17.447,"(16.148, 18.811)",119.42,"(98.787, 143.628)",2.562,"(2.245, 2.893)",0.147,"(0.128, 0.168)",,,0.624756002333079,
onset-to-death,Gamma,AL,13.953,"(13.411, 14.515)",82.466,"(74.295, 91.931)",2.365,"(2.199, 2.545)",0.17,"(0.156, 0.184)",,,0.650256088762355,
onset-to-death,Gamma,AM,15.629,"(15.291, 15.994)",95.253,"(89.074, 102.132)",2.567,"(2.439, 2.699)",0.164,"(0.155, 0.173)",,,0.624147256205541,
onset-to-death,Gamma,MANAUS,15.629,"(15.291, 15.994)",95.253,"(89.074, 102.132)",2.567,"(2.439, 2.699)",0.164,"(0.155, 0.173)",,,0.624147256205541,
onset-to-death,Gamma,AP,14.525,"(13.188, 15.986)",99.07,"(79.821, 122.693)",2.143,"(1.857, 2.442)",0.148,"(0.126, 0.171)",,,0.683107281200758,
onset-to-death,Gamma,BA,15.147,"(14.713, 15.608)",116.643,"(107.927, 126.147)",1.969,"(1.866, 2.073)",0.13,"(0.122, 0.138)",,,0.71265139882828,
onset-to-death,Gamma,CE,16.112,"(15.841, 16.389)",116.373,"(111.112, 122.014)",2.231,"(2.159, 2.303)",0.139,"(0.133, 0.144)",,,0.669499435026403,
onset-to-death,Gamma,DF,16.407,"(15.64, 17.211)",105.04,"(92.661, 119.047)",2.569,"(2.347, 2.805)",0.157,"(0.141, 0.173)",,,0.623904255512583,
onset-to-death,Gamma,ES,16.961,"(16.421, 17.517)",107.826,"(98.246, 118.128)",2.672,"(2.494, 2.859)",0.158,"(0.146, 0.169)",,,0.611760980290496,
onset-to-death,Gamma,GO,14.475,"(13.817, 15.166)",87.939,"(77.905, 99.092)",2.388,"(2.191, 2.592)",0.165,"(0.15, 0.181)",,,0.64711704429085,
onset-to-death,Gamma,MA,15,"(14.584, 15.422)",89.376,"(82.725, 96.507)",2.52,"(2.384, 2.659)",0.168,"(0.158, 0.178)",,,0.629940788348712,
onset-to-death,Gamma,MG,15.099,"(14.555, 15.652)",95.111,"(86.346, 104.658)",2.4,"(2.236, 2.565)",0.159,"(0.147, 0.171)",,,0.645497224367903,
onset-to-death,Gamma,MS,14.815,"(13.348, 16.395)",93.865,"(74.782, 116.785)",2.353,"(2.025, 2.7)",0.159,"(0.135, 0.186)",,,0.651912091670049,
onset-to-death,Gamma,MT,14.118,"(13.141, 15.123)",80.621,"(67.207, 96.398)",2.484,"(2.187, 2.813)",0.176,"(0.153, 0.202)",,,0.634489156355734,
onset-to-death,Gamma,PA,14.739,"(14.48, 15.003)",90.207,"(85.657, 94.862)",2.409,"(2.323, 2.495)",0.163,"(0.157, 0.17)",,,0.644290310458802,
onset-to-death,Gamma,PB,13.954,"(13.441, 14.494)",78.698,"(71.234, 87.252)",2.478,"(2.305, 2.657)",0.178,"(0.164, 0.192)",,,0.63525683861638,
onset-to-death,Gamma,PE,12.952,"(12.673, 13.249)",89.673,"(84.588, 95.109)",1.872,"(1.797, 1.945)",0.145,"(0.138, 0.151)",,,0.730881682755858,
onset-to-death,Gamma,PI,16.474,"(15.565, 17.395)",114.81,"(99.435, 131.724)",2.371,"(2.141, 2.608)",0.144,"(0.129, 0.16)",,,0.649432805770777,
onset-to-death,Gamma,PR,15.748,"(15.11, 16.416)",91.937,"(81.822, 102.732)",2.703,"(2.487, 2.936)",0.172,"(0.157, 0.188)",,,0.608242800595706,
onset-to-death,Gamma,RJ,14.232,"(14.03, 14.426)",103.288,"(99.488, 107.298)",1.961,"(1.911, 2.01)",0.138,"(0.134, 0.142)",,,0.714103568238054,
onset-to-death,Gamma,RN,15.208,"(14.576, 15.857)",91.89,"(81.777, 103.007)",2.522,"(2.321, 2.734)",0.166,"(0.151, 0.181)",,,0.629690960542595,
onset-to-death,Gamma,RO,14.666,"(13.602, 15.804)",92.069,"(76.428, 109.952)",2.347,"(2.059, 2.631)",0.16,"(0.139, 0.182)",,,0.652744851760462,
onset-to-death,Gamma,RR,11.16,"(10.237, 12.144)",68.111,"(55.852, 82.973)",1.838,"(1.611, 2.081)",0.165,"(0.143, 0.19)",,,0.737610765183126,
onset-to-death,Gamma,RS,15.446,"(14.73, 16.189)",116.04,"(103.014, 130.817)",2.061,"(1.892, 2.234)",0.133,"(0.121, 0.146)",,,0.696563965880955,
onset-to-death,Gamma,SC,17.792,"(16.667, 18.985)",146.792,"(125.101, 173.469)",2.165,"(1.933, 2.412)",0.122,"(0.107, 0.137)",,,0.679627666030585,
onset-to-death,Gamma,SE,13.367,"(12.244, 14.544)",112.49,"(91.411, 138.555)",1.597,"(1.399, 1.806)",0.12,"(0.102, 0.138)",,,0.791311617754496,
onset-to-death,Gamma,SP,16.205,"(16.045, 16.37)",114.755,"(111.621, 118.013)",2.289,"(2.242, 2.336)",0.141,"(0.138, 0.144)",,,0.660962931263943,
onset-to-death,Gamma,TO,14.837,"(13.53, 16.155)",97.283,"(79.138, 119.713)",2.276,"(1.988, 2.594)",0.154,"(0.132, 0.177)",,,0.662847879284573,
onset-to-death,Gamma,Brazil,15.208,"(15.124, 15.295)",105.301,"(103.708, 106.911)",2.196,"(2.173, 2.22)",0.144,"(0.143, 0.146)",,,0.67481360848243,
