We gratefully acknowledge the following Authors from the Originating laboratories responsible for obtaining the specimens, as well as the Submitting laboratories where the genome data were generated and shared via GISAID, on which this research is based.
All Submitters of data may be contacted directly via www.gisaid.org
Authors are sorted alphabetically.
Accession ID,Originating Laboratory,Submitting Laboratory,Authors
EPI_ISL_416036,National Influenza Center - Instituto Adolfo Lutz,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Carlos Henrique Camargo, Erica Valessa Ramos Gomes, Fabiana Cristina Pereira dos Santos, Daniela Bernardes Borges da Silva, Simone Guadagnucci Morillo, Adriano Abbud, Adriana Bugno, Maria do Carmo Sampaio Tavares Timenetsky, Terezinha Maria de Paiva"
EPI_ISL_429701,Central Public Health Laboratory/Octávio Magalhães Institute (IOM) from the Ezequiel Dias Foundation (FUNED),Instituto Octávio Magalhães / Fundação Ezequiel Dias (IOM/Funed),"Talita Adelino, Joilson Xavier, Marta Giovanetti, Vagner Fonseca, Marcos Vinícius Silva, Luiz Carlos Junior Alcantara, Marluce Aparecida Assunção Oliveira"
EPI_ISL_458140,Evandro Chagas Institute ,Evandro Chagas Institute ,"Santos, M.C.; Silva, A.M.; Junior, W.D.C.; Barbagelata, L.S.; Ferreira, J.A.; Sousa, E.M.A.; da Silva, P.S.; Resque, H.R; Martins, L.C.; Sousa Junior, E.C.;Viana, G.M.R"
EPI_ISL_458141,Evandro Chagas Institute ,Evandro Chagas Institute ,"Santos, M.C.; Silva, A.M.; Junior, W.D.C.; Barbagelata, L.S.; Ferreira, J.A.; Sousa, E.M.A.; da Silva, P.S.; Resque, H.R; Martins, L.C.; Sousa Junior, E.C.;Viana, G.M.R"
EPI_ISL_458146,Evandro Chagas Institute ,Evandro Chagas Institute ,"Santos, M.C.; Silva, A.M.; Junior, W.D.C.; Barbagelata, L.S.; Ferreira, J.A.; Sousa, E.M.A.; da Silva, P.S.; Resque, H.R; Martins, L.C.; Sousa Junior, E.C.;Viana, G.M.R"
EPI_ISL_458147,Evandro Chagas Institute ,Evandro Chagas Institute ,"Santos, M.C.; Silva, A.M.; Junior, W.D.C.; Barbagelata, L.S.; Ferreira, J.A.; Sousa, E.M.A.; da Silva, P.S.; Resque, H.R; Martins, L.C.; Sousa Junior, E.C.;Viana, G.M.R"
EPI_ISL_468305,Centro de Vigilancia a Saude de Diadema,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_468311,Hospital Municipal Dr Ignacio Proenca de Gouvea,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_468312,Hospital Municipal Dr Ignacio Proenca de Gouvea,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
EPI_ISL_468313,Vigilancia Epidemiologica de São Bernardo do Campo,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes"
